rse_licensee,rse_name,public_offer_status,mysuper_product_name,product_category,single_strategy_lifecycle_indicator,lifecycle_stage_name,member_assets_000,proportion_of_total_assets_in_mysuper,member_accounts,strategic_growth_asset_allocation,performance_test_measure,pass_fail_indicator,lookback_period_years,actual_return_minus_benchmark_return,representative_administration_fees_and_expenses_rafe,relevant_benchmark_representative_administration_fees_and_expenses_brafe,10_year_net_investment_return_nir_p_a,10_year_nir_relative_to_saa_benchmark_portfolio_p_a,10_year_nir_relative_to_simple_reference_portfolio_p_a,10_year_net_return_50_000_rep_member_p_a,7_year_net_investment_return_nir_p_a,7_year_nir_relative_to_saa_benchmark_portfolio_p_a,7_year_nir_relative_to_simple_reference_portfolio_p_a,7_year_net_return_50_000_rep_member_p_a,5_year_net_investment_return_nir_p_a,5_year_nir_relative_to_saa_benchmark_portfolio_p_a,5_year_nir_relative_to_simple_reference_portfolio_p_a,5_year_net_return_50_000_rep_member_p_a,3_year_net_investment_return_nir_p_a,3_year_nir_relative_to_saa_benchmark_portfolio_p_a,3_year_nir_relative_to_simple_reference_portfolio_p_a,3_year_net_return_50_000_rep_member_p_a,administration_fees_and_costs_charged_10_000_account_balance,administration_fees_and_costs_charged_25_000_account_balance,administration_fees_and_costs_charged_50_000_account_balance,administration_fees_and_costs_charged_100_000_account_balance,administration_fees_and_costs_charged_250_000_account_balance,total_fees_and_costs_charged_10_000_account_balance,total_fees_and_costs_charged_25_000_account_balance,total_fees_and_costs_charged_50_000_account_balance,total_fees_and_costs_charged_100_000_account_balance,total_fees_and_costs_charged_250_000_account_balance
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 1950-54 option,,,,0.6,,,,,,,0.0476,-0.0023,-0.0111,0.0445,0.0475,-0.0031,-0.0121,0.0449,0.0566,0.001,-0.008,0.0548,0.0853,0.0039,-0.0089,0.0843,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0114,0.0083,0.0073,0.0068,0.0065
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 1945-49 option,,,,0.6,,,,,,,0.0481,-0.0019,-0.0106,0.0449,0.0478,-0.0028,-0.0118,0.0452,0.0561,5.00E-04,-0.0085,0.0543,0.0849,0.0036,-0.0092,0.084,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0114,0.0083,0.0073,0.0068,0.0065
Aware Super Pty Ltd,Aware Super,Public offer,Aware MySuper (Accumulation),Generic,Lifecycle,,108245318,0.54,905100,,0.00394,Pass,10,0.00399,0.00253,0.002482,,,,,,,,,,,,,,,,,,,,,,,,,,
Aware Super Pty Ltd,Aware Super,Public offer,Aware MySuper (Accumulation),Generic,Lifecycle,Grow - Age 55 and under,,,,0.89,,,,,,,0.08,0.0043,0.0015,0.0772,0.0801,0.0027,-0.0011,0.0774,0.0946,0.0029,-0.0023,0.0918,0.1123,-0.0052,-0.0175,0.1095,0.0067,0.0036,0.0025,0.002,0.0017,0.0132,0.0101,0.0091,0.0086,0.0083
Aware Super Pty Ltd,Aware Super,Public offer,Aware MySuper (Accumulation),Generic,Lifecycle,Manage - Age 56,,,,0.86,,,,,,,0.0792,0.0045,0.0016,0.0765,0.079,0.003,-0.001,0.0762,0.093,0.0033,-0.0021,0.0902,0.1099,-0.0045,-0.0168,0.1072,0.0067,0.0036,0.0025,0.002,0.0017,0.0131,0.01,0.009,0.0085,0.0081
Aware Super Pty Ltd,Aware Super,Public offer,Aware MySuper (Accumulation),Generic,Lifecycle,Manage - Age 57,,,,0.84,,,,,,,0.0784,0.0048,0.0017,0.0757,0.0779,0.0033,-8.00E-04,0.0751,0.0914,0.0038,-0.0019,0.0886,0.1076,-0.0037,-0.0162,0.1048,0.0067,0.0036,0.0025,0.002,0.0017,0.013,0.0099,0.0088,0.0083,0.008
Aware Super Pty Ltd,Aware Super,Public offer,Aware MySuper (Accumulation),Generic,Lifecycle,Manage - Age 58,,,,0.81,,,,,,,0.0776,0.005,0.0018,0.0749,0.0768,0.0036,-7.00E-04,0.074,0.0898,0.0042,-0.0017,0.087,0.1052,-0.003,-0.0155,0.1025,0.0067,0.0036,0.0025,0.002,0.0017,0.0129,0.0097,0.0087,0.0082,0.0079
Aware Super Pty Ltd,Aware Super,Public offer,Aware MySuper (Accumulation),Generic,Lifecycle,Manage - Age 59,,,,0.79,,,,,,,0.0768,0.0052,0.0019,0.0741,0.0756,0.0039,-6.00E-04,0.0729,0.0882,0.0046,-0.0015,0.0854,0.1029,-0.0022,-0.0149,0.1002,0.0067,0.0036,0.0025,0.002,0.0017,0.0127,0.0096,0.0086,0.0081,0.0077
Aware Super Pty Ltd,Aware Super,Public offer,Aware MySuper (Accumulation),Generic,Lifecycle,Manage - Age 60,,,,0.76,,,,,,,0.0667,0.0027,-0.0011,0.0639,0.0657,4.00E-04,-0.0048,0.0629,0.0758,0.0018,-0.0046,0.0729,0.1006,-0.0015,-0.0142,0.0978,0.0067,0.0036,0.0025,0.002,0.0017,0.0126,0.0095,0.0084,0.0079,0.0076
Aware Super Pty Ltd,Aware Super,Public offer,Aware MySuper (Accumulation),Generic,Lifecycle,Manage - Age 61,,,,0.73,,,,,,,0.0657,0.0029,-9.00E-04,0.0629,0.0642,6.00E-04,-0.0046,0.0615,0.0737,0.0022,-0.0043,0.0709,0.0968,-9.00E-04,-0.0139,0.094,0.0067,0.0036,0.0025,0.002,0.0017,0.0125,0.0094,0.0083,0.0078,0.0075
Aware Super Pty Ltd,Aware Super,Public offer,Aware MySuper (Accumulation),Generic,Lifecycle,Manage - Age 62,,,,0.7,,,,,,,0.0646,0.003,-8.00E-04,0.0619,0.0628,9.00E-04,-0.0044,0.06,0.0717,0.0025,-0.004,0.0688,0.093,-4.00E-04,-0.0135,0.0903,0.0067,0.0036,0.0025,0.002,0.0017,0.0124,0.0093,0.0082,0.0077,0.0074
Aware Super Pty Ltd,Aware Super,Public offer,Aware MySuper (Accumulation),Generic,Lifecycle,Manage - Age 63,,,,0.67,,,,,,,0.0636,0.0032,-6.00E-04,0.0609,0.0613,0.0011,-0.0042,0.0586,0.0696,0.0028,-0.0037,0.0668,0.0892,2.00E-04,-0.0132,0.0865,0.0067,0.0036,0.0025,0.002,0.0017,0.0123,0.0092,0.0081,0.0076,0.0073
Aware Super Pty Ltd,Aware Super,Public offer,Aware MySuper (Accumulation),Generic,Lifecycle,Manage - Age 64,,,,0.64,,,,,,,0.0626,0.0034,-5.00E-04,0.0599,0.0598,0.0013,-0.004,0.0571,0.0675,0.0032,-0.0034,0.0647,0.0855,7.00E-04,-0.0129,0.0827,0.0067,0.0036,0.0025,0.002,0.0017,0.0122,0.009,0.008,0.0075,0.0072
Aware Super Pty Ltd,Aware Super,Public offer,Aware MySuper (Accumulation),Generic,Lifecycle,Enjoy - Age 65 and over,,,,0.61,,,,,,,0.0616,0.0035,-3.00E-04,0.0588,0.0584,0.0016,-0.0038,0.0556,0.0655,0.0035,-0.0031,0.0627,0.0817,0.0012,-0.0126,0.079,0.0067,0.0036,0.0025,0.002,0.0017,0.012,0.0089,0.0079,0.0074,0.0071
Bendigo Superannuation Pty Ltd,The Bendigo Superannuation Plan,Public offer,Bendigo MySuper,Generic,Lifecycle,,551504,0.37,9690,,-0.00213,Pass,10,-0.00278,0.00183,0.002482,,,,,,,,,,,,,,,,,,,,,,,,,,
Bendigo Superannuation Pty Ltd,The Bendigo Superannuation Plan,Public offer,Bendigo MySuper,Generic,Lifecycle,Bendigo Growth Index Fund - MySuper,,,,0.82,,,,,,,0.0732,-0.0038,-0.0068,0.0714,0.0727,-0.0048,-0.0084,0.0709,0.0887,-0.0039,-0.0092,0.0868,0.1064,-0.0137,-0.0156,0.1044,0.0085,0.0035,0.0018,0.001,5.00E-04,0.0131,0.0081,0.0064,0.0056,0.0051
Bendigo Superannuation Pty Ltd,The Bendigo Superannuation Plan,Public offer,Bendigo MySuper,Generic,Lifecycle,Bendigo Balanced Index Fund - MySuper,,,,0.66,,,,,,,0.0599,-0.0022,-0.0081,0.0581,0.0598,-0.0018,-0.0082,0.058,0.0687,-4.00E-04,-0.0089,0.0669,0.0904,-0.0061,-0.0111,0.0884,0.0085,0.0035,0.0018,0.001,5.00E-04,0.0129,0.0079,0.0062,0.0054,0.0049
Bendigo Superannuation Pty Ltd,The Bendigo Superannuation Plan,Public offer,Bendigo MySuper,Generic,Lifecycle,Bendigo Conservative Index Fund - MySuper,,,,0.49,,,,,,,0.0469,-2.00E-04,-0.0089,0.0451,0.0466,8.00E-04,-0.008,0.0448,0.0486,0.002,-0.0091,0.0468,0.0715,-0.0018,-0.0099,0.0696,0.0085,0.0035,0.0018,0.001,5.00E-04,0.0127,0.0077,0.006,0.0052,0.0047
Brighter Super Trustee,Brighter Super Fund,Public offer,Accumulation - MySuper,Generic,Single strategy,,16187090,0.44,133660,0.78,0.00318,Pass,10,0.00228,0.00158,0.002482,0.0723,0.0023,-0.0032,0.0699,0.0696,0.0015,-0.0066,0.0672,0.0828,0.0052,-0.0077,0.0802,0.1027,0.0065,-0.0142,0.101,0.0025,0.0018,0.0016,0.0015,0.0014,0.0079,0.0072,0.007,0.0069,0.0068
BUSS (Queensland) Pty Ltd,Building Unions Superannuation Scheme (Queensland),Public offer,MySuper,Generic,Single strategy,,5752720,0.63,64870,0.76,-0.00111,Pass,10,0.00023,0.00382,0.002482,0.0715,2.00E-04,-0.0045,0.0675,0.065,-0.0028,-0.0113,0.0608,0.0758,-0.0025,-0.0147,0.0714,0.0874,-0.0042,-0.0264,0.0831,0.0111,0.0056,0.0038,0.0029,0.0024,0.0187,0.0132,0.0114,0.0105,0.01
CareSuper Pty Ltd,CareSuper,Public offer,SPIRIT SUPER - MYSUPER,Generic,Single strategy,,42477888,0.73,546060,0.71,0.006,Pass,10,0.00658,0.00306,0.002482,0.074,0.0066,0.0013,0.0698,0.0685,0.0038,-0.0052,0.064,0.0822,0.0087,-0.0045,0.0773,0.0872,-4.00E-04,-0.0227,0.0815,0.0088,0.0045,0.0031,0.0023,0.0019,0.0154,0.0111,0.0097,0.0089,0.0085
Commonwealth Superannuation Corporation,Australian Defence Force Superannuation Scheme,Non-public offer,ADF MySuper,Generic,Single strategy,,2221082,0.71,38410,0.69,0.00684,Pass,8.75,0.00582,0.00146,0.002482,,,,,0.0682,0.0047,-0.0011,0.0668,0.0836,0.0105,0.0035,0.082,0.0945,-0.0021,-0.0128,0.0929,0.0053,0.0024,0.0015,0.001,7.00E-04,0.0129,0.01,0.0091,0.0086,0.0083
Commonwealth Superannuation Corporation,Public Sector Superannuation Accumulation Plan,Non-public offer,PSSap MySuper,Generic,Single strategy,,22633724,0.67,149400,0.69,0.00626,Pass,10,0.00523,0.00146,0.002482,0.0688,0.0052,0.0016,0.0675,0.0693,0.0058,0,0.0678,0.0846,0.0116,0.0045,0.0831,0.0957,-9.00E-04,-0.0115,0.0942,0.0053,0.0024,0.0015,0.001,7.00E-04,0.0128,0.01,0.009,0.0085,0.0082
Diversa Trustees Limited,OneSuper,Public offer,Superhero Super MySuper,Generic,Single strategy,,181175,0.02,3430,0.81,-0.00227,Pass,10,0.00251,0.00726,0.002482,0.0693,0.0025,-0.0041,0.063,0.0724,0.0016,-0.0047,0.0661,0.0838,0.0018,-0.0085,0.0775,0.1086,0.003,-0.0092,0.1019,0.0083,0.0075,0.0073,0.0071,0.0071,0.0114,0.0107,0.0104,0.0103,0.0102
Equity Trustees Superannuation Limited,Guild Retirement Fund,Public offer,Guild Super MySuper Lifecycle,Generic,Lifecycle,,3267421,0.8,93270,,-0.00257,Pass,10,-0.00179,0.00326,0.002482,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity Trustees Superannuation Limited,Guild Retirement Fund,Public offer,Guild Super MySuper Lifecycle,Generic,Lifecycle,Building,,,,0.98,,,,,,,0.0852,-0.0062,-0.0069,0.0817,0.0849,-0.0084,-0.0099,0.0813,0.1093,-0.0056,-0.0085,0.1056,0.1316,-0.0083,-0.0092,0.1278,0.0103,0.005,0.0033,0.0024,0.0018,0.0142,0.0089,0.0072,0.0063,0.0057
Equity Trustees Superannuation Limited,Guild Retirement Fund,Public offer,Guild Super MySuper Lifecycle,Generic,Lifecycle,Growing,,,,0.86,,,,,,,0.0788,-0.0025,-0.007,0.0754,0.0829,-0.0025,-0.0079,0.0793,0.1021,-0.0023,-0.0077,0.0983,0.1155,-0.0048,-0.0139,0.1117,0.0103,0.005,0.0033,0.0024,0.0018,0.0155,0.0102,0.0085,0.0076,0.007
Equity Trustees Superannuation Limited,Guild Retirement Fund,Public offer,Guild Super MySuper Lifecycle,Generic,Lifecycle,Consolidating,,,,0.67,,,,,,,0.0619,-0.0012,-0.0072,0.0585,0.065,-0.0016,-0.0073,0.0615,0.0739,0,-0.0079,0.0703,0.0899,-0.001,-0.0144,0.0863,0.0103,0.005,0.0033,0.0024,0.0018,0.0157,0.0104,0.0087,0.0078,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,,3372062,0.34,42740,,-6.00E-04,Pass,10,0.00199,0.00507,0.002482,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle Under 35,,,,0.87,,,,,,,0.0847,0.0021,-0.0011,0.0753,0.083,0.0021,-0.0021,0.0722,0.0996,0.0013,-0.0047,0.087,0.1184,-0.0021,-0.0085,0.1128,0.01,0.0063,0.0051,0.0045,0.0041,0.013,0.0093,0.0081,0.0075,0.0071
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 36,,,,0.87,,,,,,,0.0846,0.0021,-0.0012,0.0752,0.0828,0.0021,-0.0021,0.0721,0.0993,0.0014,-0.0047,0.0867,0.1182,-0.002,-0.0085,0.1126,0.01,0.0063,0.0051,0.0045,0.0041,0.013,0.0093,0.0081,0.0075,0.0071
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 37,,,,0.86,,,,,,,0.0843,0.0022,-0.0011,0.0749,0.0824,0.0023,-0.0021,0.0717,0.0985,0.0016,-0.0048,0.086,0.1176,-0.0018,-0.0084,0.1121,0.01,0.0063,0.0051,0.0045,0.0041,0.013,0.0093,0.0081,0.0075,0.0071
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 38,,,,0.85,,,,,,,0.0839,0.0022,-0.0013,0.0745,0.0818,0.0022,-0.0022,0.0712,0.0976,0.0016,-0.005,0.0852,0.117,-0.0017,-0.0085,0.1115,0.01,0.0063,0.0051,0.0045,0.0041,0.013,0.0093,0.0081,0.0075,0.0071
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 39,,,,0.85,,,,,,,0.0834,0.0022,-0.0014,0.0741,0.0811,0.0022,-0.0024,0.0706,0.0966,0.0015,-0.0053,0.0843,0.1163,-0.0017,-0.0086,0.1108,0.01,0.0063,0.0051,0.0045,0.0041,0.013,0.0093,0.0081,0.0075,0.0071
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 40,,,,0.84,,,,,,,0.083,0.0022,-0.0015,0.0738,0.0806,0.0022,-0.0025,0.0701,0.0957,0.0016,-0.0054,0.0834,0.1157,-0.0015,-0.0086,0.1102,0.01,0.0063,0.0051,0.0045,0.0041,0.013,0.0093,0.0081,0.0075,0.0071
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 41,,,,0.84,,,,,,,0.0826,0.0022,-0.0016,0.0734,0.08,0.0022,-0.0027,0.0695,0.0947,0.0016,-0.0057,0.0825,0.115,-0.0015,-0.0087,0.1095,0.01,0.0063,0.0051,0.0045,0.0041,0.013,0.0093,0.0081,0.0075,0.0071
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 42,,,,0.83,,,,,,,0.0821,0.0022,-0.0017,0.073,0.0793,0.0022,-0.0029,0.0689,0.0936,0.0016,-0.0059,0.0815,0.1142,-0.0014,-0.0088,0.1088,0.01,0.0063,0.0051,0.0045,0.0041,0.013,0.0093,0.0081,0.0075,0.0071
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 43,,,,0.83,,,,,,,0.0809,0.0021,-0.002,0.0718,0.0787,0.0022,-0.003,0.0683,0.0927,0.0017,-0.0061,0.0807,0.1136,-0.0013,-0.0088,0.1081,0.01,0.0063,0.0051,0.0044,0.0041,0.013,0.0093,0.0081,0.0075,0.0071
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 44,,,,0.82,,,,,,,0.0797,0.0021,-0.0023,0.0706,0.078,0.0022,-0.0032,0.0677,0.0915,0.0017,-0.0064,0.0796,0.1128,-0.0012,-0.0089,0.1073,0.01,0.0063,0.0051,0.0044,0.0041,0.013,0.0094,0.0081,0.0075,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 45,,,,0.81,,,,,,,0.0784,0.0021,-0.0025,0.0694,0.0773,0.0022,-0.0033,0.0671,0.0905,0.0017,-0.0066,0.0787,0.112,-0.0011,-0.009,0.1066,0.01,0.0063,0.0051,0.0044,0.0041,0.013,0.0094,0.0081,0.0075,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 46,,,,0.81,,,,,,,0.0772,0.0021,-0.0028,0.0682,0.0766,0.0022,-0.0035,0.0665,0.0894,0.0018,-0.0069,0.0776,0.1113,-0.001,-0.009,0.1058,0.01,0.0063,0.0051,0.0044,0.0041,0.013,0.0094,0.0081,0.0075,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 47,,,,0.8,,,,,,,0.0759,0.002,-0.0031,0.067,0.0759,0.0022,-0.0037,0.0658,0.0883,0.0018,-0.0071,0.0767,0.1105,-9.00E-04,-0.0091,0.1051,0.01,0.0063,0.0051,0.0044,0.0041,0.013,0.0094,0.0081,0.0075,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 48,,,,0.79,,,,,,,0.0747,0.002,-0.0034,0.0658,0.0752,0.0022,-0.0038,0.0652,0.0871,0.0019,-0.0073,0.0755,0.1097,-8.00E-04,-0.0092,0.1043,0.01,0.0063,0.0051,0.0044,0.0041,0.013,0.0094,0.0081,0.0075,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 49,,,,0.79,,,,,,,0.0734,0.002,-0.0037,0.0645,0.0744,0.0022,-0.004,0.0645,0.0859,0.0019,-0.0076,0.0745,0.1089,-7.00E-04,-0.0093,0.1034,0.01,0.0063,0.0051,0.0044,0.0041,0.0131,0.0094,0.0082,0.0075,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 50,,,,0.78,,,,,,,0.072,0.0019,-0.004,0.0632,0.0736,0.0022,-0.0042,0.0637,0.0847,0.002,-0.0079,0.0733,0.1081,-5.00E-04,-0.0093,0.1026,0.01,0.0063,0.0051,0.0044,0.0041,0.0131,0.0094,0.0082,0.0075,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 51,,,,0.77,,,,,,,0.0707,0.0019,-0.0043,0.0619,0.0728,0.0022,-0.0044,0.063,0.0834,0.002,-0.0082,0.0721,0.1071,-5.00E-04,-0.0094,0.1017,0.01,0.0063,0.0051,0.0044,0.0041,0.0131,0.0094,0.0082,0.0076,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 52,,,,0.76,,,,,,,0.0693,0.0018,-0.0046,0.0606,0.0719,0.0022,-0.0046,0.0621,0.082,0.0021,-0.0085,0.0708,0.1062,-2.00E-04,-0.0094,0.1007,0.0099,0.0063,0.0051,0.0044,0.0041,0.0131,0.0094,0.0082,0.0076,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 53,,,,0.76,,,,,,,0.0678,0.0018,-0.0049,0.0592,0.071,0.0022,-0.0048,0.0614,0.0806,0.0021,-0.0088,0.0696,0.1052,-2.00E-04,-0.0096,0.0998,0.0099,0.0063,0.0051,0.0044,0.0041,0.0131,0.0094,0.0082,0.0076,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 54,,,,0.75,,,,,,,0.0664,0.0018,-0.0052,0.0578,0.0701,0.0022,-0.005,0.0605,0.0792,0.0022,-0.0091,0.0682,0.1042,0,-0.0096,0.0988,0.0099,0.0063,0.0051,0.0044,0.0041,0.0131,0.0094,0.0082,0.0076,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 55,,,,0.74,,,,,,,0.0649,0.0018,-0.0056,0.0564,0.0691,0.0022,-0.0052,0.0596,0.0776,0.0022,-0.0094,0.0668,0.1031,2.00E-04,-0.0097,0.0977,0.0099,0.0063,0.0051,0.0044,0.0041,0.0131,0.0094,0.0082,0.0076,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 56,,,,0.73,,,,,,,0.0634,0.0017,-0.0059,0.055,0.068,0.0022,-0.0055,0.0586,0.0759,0.0022,-0.0099,0.0652,0.1019,2.00E-04,-0.0099,0.0965,0.0099,0.0063,0.005,0.0044,0.0041,0.0131,0.0094,0.0082,0.0076,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 57,,,,0.72,,,,,,,0.0618,0.0017,-0.0063,0.0534,0.0668,0.0022,-0.0057,0.0575,0.0742,0.0023,-0.0102,0.0636,0.1007,4.00E-04,-0.01,0.0954,0.0099,0.0063,0.005,0.0044,0.0041,0.0131,0.0094,0.0082,0.0076,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 58,,,,0.71,,,,,,,0.0601,0.0017,-0.0067,0.0519,0.0656,0.0022,-0.006,0.0564,0.0723,0.0024,-0.0106,0.0619,0.0995,6.00E-04,-0.0101,0.0941,0.0099,0.0063,0.005,0.0044,0.0041,0.0131,0.0094,0.0082,0.0076,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 59,,,,0.7,,,,,,,0.0584,0.0016,-0.007,0.0502,0.0643,0.0023,-0.0063,0.0552,0.0703,0.0025,-0.011,0.0601,0.0981,8.00E-04,-0.0102,0.0927,0.0099,0.0063,0.005,0.0044,0.0041,0.0131,0.0095,0.0082,0.0076,0.0072
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 60,,,,0.68,,,,,,,0.0567,0.0017,-0.0074,0.0486,0.063,0.0023,-0.0065,0.054,0.0682,0.0026,-0.0114,0.0581,0.0967,0.0011,-0.0102,0.0912,0.0099,0.0063,0.005,0.0044,0.0041,0.0131,0.0095,0.0082,0.0076,0.0073
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 61,,,,0.67,,,,,,,0.0548,0.0016,-0.0078,0.0468,0.0614,0.0024,-0.0069,0.0526,0.0659,0.0027,-0.012,0.056,0.0949,0.0012,-0.0105,0.0896,0.0099,0.0063,0.005,0.0044,0.0041,0.0131,0.0095,0.0082,0.0076,0.0073
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 62,,,,0.66,,,,,,,0.0529,0.0016,-0.0083,0.045,0.0598,0.0023,-0.0073,0.0511,0.0634,0.0028,-0.0125,0.0538,0.0932,0.0015,-0.0107,0.0879,0.0099,0.0063,0.005,0.0044,0.0041,0.0132,0.0095,0.0083,0.0076,0.0073
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 63,,,,0.64,,,,,,,0.0508,0.0016,-0.0087,0.043,0.058,0.0025,-0.0076,0.0494,0.0606,0.0029,-0.0131,0.0512,0.0914,0.0019,-0.0107,0.086,0.0099,0.0063,0.005,0.0044,0.0041,0.0132,0.0095,0.0083,0.0077,0.0073
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 64,,,,0.62,,,,,,,0.0486,0.0016,-0.0091,0.0409,0.056,0.0025,-0.008,0.0475,0.0576,0.0031,-0.0137,0.0483,0.0893,0.0021,-0.0109,0.0839,0.0099,0.0063,0.005,0.0044,0.0041,0.0132,0.0095,0.0083,0.0077,0.0073
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 65,,,,0.6,,,,,,,0.0464,0.0016,-0.0097,0.0388,0.0539,0.0025,-0.0086,0.0457,0.0546,0.003,-0.0145,0.0456,0.0871,0.0023,-0.0112,0.0818,0.0099,0.0063,0.005,0.0044,0.0041,0.0132,0.0095,0.0083,0.0077,0.0073
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 66,,,,0.6,,,,,,,0.0448,0.0012,-0.0102,0.0373,0.0529,0.0021,-0.0091,0.0447,0.0533,0.0027,-0.0151,0.0444,0.0862,0.002,-0.0116,0.0808,0.0099,0.0063,0.005,0.0044,0.0041,0.0132,0.0095,0.0083,0.0077,0.0073
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 67,,,,0.59,,,,,,,0.0436,0.0012,-0.0105,0.0361,0.0523,0.0021,-0.0093,0.0442,0.0523,0.0026,-0.0153,0.0435,0.0855,0.002,-0.0117,0.0802,0.0099,0.0063,0.005,0.0044,0.0041,0.0132,0.0095,0.0083,0.0077,0.0073
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 68,,,,0.59,,,,,,,0.0432,0.0012,-0.0106,0.0357,0.0517,0.0021,-0.0094,0.0436,0.0515,0.0027,-0.0155,0.0426,0.0849,0.0022,-0.0117,0.0795,0.0099,0.0063,0.005,0.0044,0.0041,0.0132,0.0095,0.0083,0.0077,0.0073
